Comunidad;Provincia;Distrito Notarial;Localidad / Plaza;Clase;Notas;Anterior Notario
Andalucía;Almería;;Vélez-Blanco;Resulta;Nº42;María del Pilar Baraza Domene
Comunidad de Madrid;Madrid;;Arganda del Rey;Resulta;Nº43;Pedro Horcajada Fernández-Quero
Comunitat Valenciana;Castelló/Castellón;;Morella;Resulta;Nº44;Lirios Gisbert Cantó
Castilla y León;Soria;;San Leonardo de Yagüe;Resulta;Nº46;Fermín Madrid Pelegrí
Andalucía;Almería;;Ugíjar;Resulta;Nº47;María Isabel Viruel León
Andalucía;Huelva;;Bonares;Resulta;Nº48;María Angélica Delgado Majada
Comunitat Valenciana;València/Valencia;;La Font de la Figuera;Resulta;Nº49;Begoña Lozano Vera
Extremadura;Badajoz;;Monesterio;Resulta;Nº50;María Enriqueta Saucedo García
Andalucía;Jaén;;Lopera;Resulta;Nº51;Héctor Alonso González
Andalucía;Sevilla;;Lora del Río;Resulta;Nº52;María Aránzazu Amorós Buqueras
Principado de Asturias;Asturias;;Carreño;Resulta;Nº53;Juan José Álvarez Álvarez
Castilla y León;León;;Astorga;Resulta;Nº54;Marta Rovira Fernández-Arche
Extremadura;Badajoz;;Nava;Resulta;Nº55;María Elena Muñoz Molinero
Castilla y León;León;;La Robla;Resulta;Nº57;María del Pilar Portellano Salamanca
Cataluña;Barcelona;;Esparreguera;Resulta;Nº64;Gonzalo Quiralte Moreno
Cataluña;Girona;;Blanes;Resulta;Nº65;Javier Salas Ramos
Extremadura;Badajoz;;Hornachos;Resulta;Nº66;María Encarnación Cáliz Talavera
Galicia;Pontevedra;;Ponteareas;Resulta;Nº67;Alma María Carbajal de la Iglesia
Comunitat Valenciana;Alicante/Alacant;;Onil;Resulta;Nº68;Ignacio Martínez de la Torre
Cataluña;Lleida;;Bellpuig;Resulta;Nº69;Jessica Castro Salguero
Andalucía;Córdoba;;Montoro;Resulta;Nº70;Rosalía Priego Sancho
Castilla y León;Palencia;;Astudillo;Resulta;Nº71;Carlos Nadal Pérez-Marsá
Cataluña;Barcelona;;Pineda de Mar;Resulta;Nº72;Sonia Sánchez Ruiz
Cataluña;Tarragona;;Santa Coloma de Queralt;Resulta;Nº73;Raquel Doval Ganuza
País Vasco;Bizkaia/Vizcaya;;Bilbao;Resulta;Nº74;Francisco Antonio Arriola Garrote
Castilla y León;Valladolid;;Valladolid;Resulta;Nº75;Carlos León Matorras
Cantabria;Cantabria;;Laredo;Resulta;Nº76;Roberto Follía Martínez
Principado de Asturias;Asturias;;Belmonte de Miranda;Resulta;Nº83;Enrique Moreno González
Castilla y León;Burgos;;Espinosa de los Monteros;Resulta;Nº91;Iago Alciturri Sexto
País Vasco;Bizkaia/Vizcaya;;Villahermosa;Resulta;Nº94;Itziar Celestino Esteban
Castilla-La Mancha;Ciudad Real;;Moral de Calatrava;Resulta;Nº96;María Socias Alemany
Extremadura;Cáceres;;Torrejoncillo;Resulta;Nº101;José Ángel Soto Pérez-Cortés
Castilla-La Mancha;Ciudad Real;;Almagro;Resulta;Nº103;María Begoña Vallejo Catalina
Castilla y León;Palencia;;Paredes de Nava;Resulta;Nº110;Jesús Carlos Pérez Pericacho
Aragón;Zaragoza;;Sádaba;Resulta;Nº111;Arantxa Campillo Guillén
Comunitat Valenciana;València/Valencia;;Benifaió;Resulta;Nº118;Lorenzo Talens Grau
Andalucía;Almería;;Purchena;Resulta;Nº120;Marta García Zorrilla
Andalucía;Sevilla;;El Castillo de las Guardas;Resulta;Nº124;María Pizarro Caballero
Comunitat Valenciana;Castelló/Castellón;;Albocàsser;Resulta;Nº125;Lucía Latorre Navarro
Castilla y León;Salamanca;;Ledesma;Resulta;Nº126;Sara Pedrero Muñoz
